Gene,Sample_1,Sample_2,Sample_3
ENSG00000006282,488.718683961,430.885919371,446.762791014
ENSG00000006283,27.0202311638,27.2979125801,29.8747347563
ENSG00000006327,196.4682521158,275.2920142164,342.9646755541
ENSG00000006377,27.4069772401,40.0324559527,33.7145157604
ENSG00000006432,190.361195284,368.901116206,241.914782388
ENSG00000006451,626.3792129244,418.073083356,583.7817436346
ENSG00000006468,126.40780908,217.7653070621,139.9248429654
ENSG00000006530,674.845713651,400.937604821,378.350293877
ENSG00000006534,284.6685360637,256.6003481456,403.3861975417
ENSG00000006555,18.4781501027,13.8444229038,15.7084852354
ENSG00000006576,351.210463045,490.950560021,343.578565054
ENSG00000006607,146.1757036609,202.770748852,162.0438260018
ENSG00000006611,103.9382265418,159.7393411694,101.1751261298
ENSG00000006625,1383.708222276,1068.038167099,1174.747310032
ENSG00000006634,499.99162944,805.2671323288,548.770813113
ENSG00000006638,165.442724002,250.654309743,201.14981822
ENSG00000006652,442.810285687,1482.638021321,1649.063724956
ENSG00000006659,168.123117409,437.994606441,233.3091571546
ENSG00000006695,785.315894068,968.774287729,670.109518095
ENSG00000006704,326.301445123,351.678873629,343.204991094
ENSG00000006712,320.437180595,424.533988156,464.321623436
ENSG00000006715,308.954756226,399.416911003,405.925259303
ENSG00000006740,17.8710452085,17.4751370712,19.6286304882
ENSG00000006744,362.1107621261,203.2766801432,243.8231841395
ENSG00000006747,138.8301532586,230.2065020582,130.540103881
ENSG00000006756,35.3726653884,21.4540715082,50.3905271633
ENSG00000006757,70.6322411626,69.0244851021,74.3397182543
ENSG00000006788,54.5754047766,92.3293830327,69.5898975584
ENSG00000006831,1340.703235225,1540.376555867,1692.316086423
ENSG00000006837,157.2355060934,172.933217191,151.5609307036
ENSG00000007038,124.6080992571,174.3745572203,164.2403564847
ENSG00000007047,358.227642528,284.378196537,394.990003225
ENSG00000007062,77.0625753406,73.0569560541,52.5508053928
ENSG00000007129,184.3335083502,148.6449644192,126.5343153059
ENSG00000007168,776.711812536,730.026530885,771.201052634
ENSG00000007171,105.2955280169,212.4641278438,184.4564958342
ENSG00000007174,62.6960387241,69.1598641004,56.7845483572
ENSG00000007202,636.473542064,557.342066268,635.219179804
ENSG00000007216,32.3231933672,47.8323322746,50.8404495105
ENSG00000007237,539.0265809554,361.3009606662,608.616990748
ENSG00000007255,673.819267355,565.186787333,501.28533201
ENSG00000007264,791.9287952814,157.3237189953,289.6551669832
ENSG00000007306,50.1316618969,69.238525146,50.860394358
ENSG00000007312,275.0300450925,1756.8530028979,168.0364893483
ENSG00000007314,23.1511629361,22.4674439919,22.2157301231
ENSG00000007341,70.34484091,134.6848154544,120.3599119678
ENSG00000007350,173.2558028599,238.2635661342,266.8433004159
ENSG00000007372,25.8315337193,28.4807624976,27.7072426024
ENSG00000007384,68.714862906,89.8439487153,95.2803678079
ENSG00000007392,268.811742275,288.943675665,289.180265851
ENSG00000007402,362.5667256673,182.1187720302,204.8341984572
ENSG00000007516,71.3579347084,150.7974804167,134.6841218069
ENSG00000007541,122.890727953,129.1599888122,126.2961780254
ENSG00000007866,71.8458678649,56.7959802077,71.0000306873
ENSG00000007908,26.4266915484,34.8111699083,19.9952597069
ENSG00000007923,460.387012127,540.477808501,423.37437407
ENSG00000007933,19.400393544,41.5281648114,22.236802268800002
ENSG00000007944,553.0041838812,1377.06027136,793.658055607
ENSG00000007952,34.1621808598,42.214876716,44.2584039658
ENSG00000007968,58.2527515826,44.6306896632,50.145051173
ENSG00000008018,3732.13157238,3424.12993523,3097.7661486
ENSG00000008056,70.3334904675,77.3607329685,101.2658192128
ENSG00000008083,1087.678415138,1520.614456067,1430.630037887
ENSG00000008086,17.1724829898,12.5026587678,16.1132931221
ENSG00000008118,89.5171098989,110.8014102606,144.0391771129
ENSG00000008130,493.808527575,947.035743577,1269.596053756
ENSG00000008196,21.2956436108,23.0361620026,24.1809631026
ENSG00000008226,24.4938351827,35.9983480574,32.7897771926
ENSG00000008256,12.6083232892,20.8687698556,22.029615629
ENSG00000008277,22.3245559448,32.4018110084,28.9066040091
ENSG00000008282,990.659208292,2209.230645774,1038.142426939
ENSG00000008283,360.534603152,478.699767707,367.286110536
ENSG00000008294,463.035949682,635.933265222,716.312793598
ENSG00000008300,93.2402698746,100.4370702381,88.3753995069
ENSG00000008311,10.4701889945,12.6119320189,12.1592514995
ENSG00000008323,128.5860864711,175.0708721393,168.7859491295
ENSG00000008324,1318.381990335,1475.744632361,1329.646265479
ENSG00000008405,574.837369611,495.6655050868,568.043127072
ENSG00000008438,35.8674044209,405.4892631542,461.1569508655
ENSG00000008441,28.2267724236,33.0585878221,35.3696302084
ENSG00000008513,193.612061455,211.7307243672,225.1679655404
ENSG00000008516,321.33910784,1032.332372278,1362.963025245
ENSG00000008517,1911.8587840071,422.9999376374,709.9048906226
ENSG00000008710,137.0469526469,134.162694282,139.926909083
ENSG00000008735,56.0831946401,60.8186188584,61.1136736071
ENSG00000008838,491.775150865,379.567484169,354.837322068
ENSG00000008853,65.813633079,45.1098580103,63.7554194688
ENSG00000008952,1670.71749114,3473.21780423,2734.44211268
ENSG00000008988,9768.03251577,9384.542184,5196.75329085
ENSG00000009307,2300.56558949,2534.4329223,2032.96020964
ENSG00000009335,742.956540411,621.172290549,596.705769178
ENSG00000009413,542.905525694,761.80442216,610.883020783
ENSG00000009709,34.9525809728,70.7175455442,40.5979791493
ENSG00000009724,143.8125900983,192.1291810265,164.9519347138
ENSG00000009780,98.9945880027,94.8832660003,76.12592203
ENSG00000009790,1138.1301963867,1266.032115833,710.9482172654
ENSG00000009830,128.4949298093,114.3237441436,117.3241209473
ENSG00000009950,68.1366514104,129.9262578081,119.7323347927
ENSG00000009954,413.880923445,241.8866248165,326.900469545
ENSG00000010017,798.484975079,725.609259307,774.206211651
ENSG00000010030,293.306480219,293.062522075,364.299842497
ENSG00000010165,421.676263819,275.7646819897,343.664746189
ENSG00000010219,224.9812644088,135.7310691966,200.2273840499
ENSG00000010244,3467.17513057,3841.49105896,2816.41353778
ENSG00000010256,1471.39898301,581.4920763133,1153.6548654808
ENSG00000010278,668.759649167,2133.007794185,2529.173742897
ENSG00000010292,380.61417618,272.264000262,259.770305963
ENSG00000010295,927.575857831,906.405902842,1047.991515343
ENSG00000010310,20.7725544837,23.1681961247,31.8247697519
ENSG00000010318,163.952511156,265.756448012,222.380701741
ENSG00000010319,135.0257619602,189.4582392434,150.1679001095
ENSG00000010322,1999.664945362,2105.662712696,2241.788872877
ENSG00000010327,1239.3206123807,560.1120224606,3017.083853177
ENSG00000010361,277.506904132,283.105363851,266.380329798
ENSG00000010379,252.5163749732,351.3730885816,298.72718324
ENSG00000010404,667.108113648,917.815269483,1050.763163415
ENSG00000010438,38.2461246442,30.0748526897,51.6778274932
ENSG00000010539,369.335154613,500.762736354,589.540014351
ENSG00000010610,1662.7802804985,508.844711143,1844.0742347196
ENSG00000010626,66.5557148542,49.9229367186,73.1605264695
ENSG00000010671,402.1035082141,1586.2068084719,1047.5385216239
ENSG00000010704,165.8806984345,249.028443265,207.661374555
ENSG00000010803,365.519225592,604.433567226,399.012431621
ENSG00000010810,4353.213411922,1254.26812444,1189.942950778
ENSG00000010818,403.242711289,274.020190889,271.420560268
ENSG00000010932,49.8379913488,76.4496505321,56.8934375891
ENSG00000011009,98.7531773842,56.8246371676,89.3213712902
ENSG00000011021,190.1463658373,248.3175694587,220.937133891
ENSG00000011028,295.577081261,279.872992534,416.64911265
ENSG00000011083,12.7838710335,10.5998101309,12.8387493821
ENSG00000011105,82.4997933582,112.4391477117,109.6392586449
ENSG00000011114,90.4984855591,131.1326330483,159.5146909652
ENSG00000011132,394.1180657378,168.6576362223,302.6080120552
ENSG00000011143,207.489324274,257.111766779,212.843346639
ENSG00000011198,272.852013038,597.09953682,684.865938326
ENSG00000011243,376.039300428,420.26318783,342.881919899
ENSG00000011258,36.1863243597,15.5873876079,20.6471665568
ENSG00000011260,987.927610979,949.436908489,1052.877163357
ENSG00000011275,284.388985964,341.516540106,344.199222785
ENSG00000011295,1104.328188204,1265.368638397,1093.715320413
ENSG00000011304,3039.93221634,2262.54472384,2128.08562488
ENSG00000011332,44.606457447,43.0702960258,47.4767265323
ENSG00000011376,265.525320559,218.427083307,240.379082163
ENSG00000011405,597.65645834,545.608671402,600.210101479
ENSG00000011422,559.115673571,2030.805720905,2665.999943328
ENSG00000011451,146.1805520479,100.7346912659,137.3216507456
ENSG00000011454,747.887710805,679.194871779,749.362061816
ENSG00000011465,115.5390256793,211.6605734549,119.3604337715
ENSG00000011478,36.2375717563,46.6048930403,35.0449900195
ENSG00000011485,260.9323850719,176.8003911194,154.3533467106
ENSG00000011523,318.670945318,460.066665627,324.862462265
ENSG00000011566,140.8296263527,165.3956558423,164.8863893732
ENSG00000011590,38.3806544566,43.271732132,43.9583563779
ENSG00000011600,9042.120648592,6480.645486798,14353.5517844756
ENSG00000011638,260.731644619,307.26559726200003,280.06388137
ENSG00000011677,9.9801077894,13.9696633521,13.2021893708
ENSG00000012048,145.5690188737,69.9886661343,85.3337633927
ENSG00000012061,536.820890187,511.424615828,502.703772239
ENSG00000012124,68.5251680704,844.4453247844,115.519862306
ENSG00000012171,16.7914940868,18.6132235477,25.1852020618
ENSG00000012174,151.7711373939,244.4985808197,190.437133565
ENSG00000012211,68.7446103352,48.7750888189,105.3360015626
ENSG00000012223,767.0530156813,234.8813498114,338.5758002462
ENSG00000012232,200.598958724,214.06002004,217.178487791
ENSG00000012504,47.1674422785,62.8186064382,59.3457773012
ENSG00000012660,3363.36017167,5605.48495128,4940.60391708
ENSG00000012779,415.9119060279,1385.0438517206,1004.744152538
ENSG00000012817,845.4907051546,1785.0055813036,860.5360102632
ENSG00000012822,803.410546934,919.643951442,915.019642636
ENSG00000012963,726.746360141,637.937568136,582.246092531
ENSG00000012983,235.095727738,234.8504860659,245.579486189
ENSG00000013016,95.4580859593,161.817586157,46.8070934361
ENSG00000013275,680.232809808,259.2627334475,444.803947744
ENSG00000013288,667.86197454,689.496461436,748.286472483
ENSG00000013297,126.8459376592,171.1304852092,154.9842292842
ENSG00000013364,1158.465306504,903.121781934,1179.676664786
ENSG00000013375,81.6601577041,60.4804966069,81.5709157379
ENSG00000013392,102.7770212595,117.5657520725,90.094365885
ENSG00000013441,859.224719008,1773.867907578,1390.717246131
ENSG00000013503,413.460369569,639.325769202,505.891812664
ENSG00000013523,301.04191864,316.555743753,278.120361022
ENSG00000013561,437.331389754,307.401785441,400.653761486
ENSG00000013563,445.149922081,405.938049031,516.098440799
ENSG00000013573,382.318440269,423.217352908,307.215991265
ENSG00000013583,742.6761887553,493.2573037021,1036.2141281037
ENSG00000013588,22.9503740366,31.262483663,26.4714701255
ENSG00000013619,131.3583910584,198.950309737,168.6019520302
ENSG00000013725,644.1633840353,340.574886442,242.5550227893
ENSG00000013810,354.1246544949,417.6877970549,498.7342376497
ENSG00000014138,260.817471193,96.5966820927,158.071397393
ENSG00000014164,214.179279619,210.984870548,267.510582606
ENSG00000014216,423.696747869,295.497906022,422.395385165
ENSG00000014257,178.1258799514,531.1329649221,613.6363836728
ENSG00000014641,4594.21184521,3259.901019308,4771.21424021
ENSG00000014824,556.968543643,606.487902153,561.937240878
ENSG00000014914,466.7140892356,368.1797064238,290.026329161
ENSG00000014919,303.379139906,304.133225402,313.206286409
ENSG00000015153,418.78297345,502.606913428,495.615511267
ENSG00000015171,944.547044603,937.385818094,644.590668842
ENSG00000015285,1009.255130239,1201.932689484,1311.05373975
ENSG00000015413,133.9064112896,243.153984008,187.4540430556
ENSG00000015475,797.663846624,1227.5627417241,1784.662105339
ENSG00000015479,4224.56807602,3958.76013926,3077.27456401
ENSG00000015520,23.5092906489,29.6861590235,29.8121857765
ENSG00000015532,110.1628505853,43.2630640035,91.6380756199
ENSG00000015592,116.0357823284,219.9765618382,149.7153757682
ENSG00000015676,375.150466999,444.354810149,362.134899805
ENSG00000016082,71.4018217371,148.3855634157,91.647061662
ENSG00000016402,28.3648278482,57.4736686561,31.385154236200002
ENSG00000016490,140.474021101,202.8723058991,172.871417087
ENSG00000016602,14.6712774418,60.0767679461,26.7131708317
ENSG00000016864,414.132425968,400.3183480014,359.252886442
ENSG00000017260,272.294127418,258.120706587,292.412932882
ENSG00000017427,169.045271454,175.0135051597,400.8684636952
ENSG00000017797,537.1768579536,474.300566657,630.0023301481
ENSG00000018189,176.8781361152,148.0856015211,199.0788540547
ENSG00000018236,144.0663584116,314.187724107,200.3118639572
ENSG00000018280,241.6265282133,364.834970712,413.5319087702
ENSG00000018408,24.9309942788,23.9925538348,25.7611801659
ENSG00000018510,716.048109131,623.210035109,668.409091344
ENSG00000018625,40.6726657254,60.7633982327,51.435557633
ENSG00000018699,467.391870018,566.284424371,390.670591698
ENSG00000019144,76.6403103384,86.6065410474,96.4413421166
ENSG00000019169,213.3347952947,16.3255696603,131.6817704631
ENSG00000019186,54.9144574377,67.4727355087,50.5403478081
ENSG00000019485,153.5977528025,155.1328535974,143.0151225697
ENSG00000019505,294.9748513,522.419927754,334.579994337
ENSG00000019549,37.80019935,58.0139635306,40.3040392957
ENSG00000019582,13267.09613805,10899.17386031,16155.00623999
ENSG00000019991,59.4121813373,75.7855591497,92.2091129823
ENSG00000020129,156.292331475,138.9194036356,142.8488129882
ENSG00000020256,263.942108076,196.827873817,188.957734102
ENSG00000020426,137.6807109396,72.5877477012,96.31645167
ENSG00000020577,66.5338255642,44.1603914427,80.6008729527
ENSG00000020633,3565.691016547,1547.426424605,1860.244248896
ENSG00000021300,152.6263712518,199.108226475,95.7144852442
ENSG00000021355,1246.302530025,1729.051653127,2085.903931191
ENSG00000021461,9.525386548,8.7957996196,9.7888626807
ENSG00000021488,209.2462843053,446.278873511,258.0756825478
ENSG00000021574,232.136684706,284.857402316,316.874493364
ENSG00000021645,9.3011345415,9.1316442243,8.7673808886
ENSG00000021776,994.535984565,933.858438312,899.480892805
ENSG00000021826,80.5748680659,153.2162808834,91.4191853079
ENSG00000021852,139.8246223197,232.0543611497,177.9711128337
ENSG00000022267,147.5366572473,136.4287777414,96.8162850935
ENSG00000022355,12.8900621994,17.0487176646,16.1577636862
ENSG00000022556,346.3686457408,284.7136408111,206.5412644321
ENSG00000022840,572.054902203,979.100951761,863.194049464
ENSG00000022976,227.527174417,277.609504473,234.478413149
ENSG00000023041,1152.05866917,1124.516619835,1052.0325151709999
ENSG00000023191,1902.881344808,1004.258947577,2256.401927082
ENSG00000023228,782.000144274,523.468057396,658.122624649
ENSG00000023287,551.894826459,680.890807785,709.138135638
ENSG00000023318,681.832152158,1060.725330372,869.123416833
ENSG00000023330,1080.158109499,836.1718527356,1656.352339621
ENSG00000023445,864.1732622842,1251.0311814552,1288.8618850518
ENSG00000023516,1409.620327088,1503.675637806,1330.396595963
ENSG00000023572,712.766677028,541.7431863978,821.087420476
ENSG00000023608,168.509126052,196.29708944,198.2022425316
ENSG00000023697,677.203964703,489.159687551,681.239644397
ENSG00000023734,2730.11742288,3406.07047453,2520.75691575
ENSG00000023839,33.8078370162,38.0998412436,40.1445928184
ENSG00000023892,498.9650987136,458.0822810853,429.0096536042
ENSG00000023902,864.5054270123,494.3470747166,1015.3929414905
ENSG00000023909,650.033270186,415.934750847,607.54021148
ENSG00000024048,583.215763685,939.451106655,1036.824487033
ENSG00000024422,37.9336949727,47.4239741243,46.2883200756
ENSG00000024862,1081.744051239,1253.947099851,1447.616379566
ENSG00000025039,528.7165205092,581.5998348723,1097.4291636953
ENSG00000025156,167.4869100628,168.9920585319,128.7592785526
ENSG00000025293,453.769184897,559.744142653,583.625115548
ENSG00000025423,17.8292056282,20.7963494476,12.8841526914
ENSG00000025434,466.5076228605,125.3820875926,646.838971286
ENSG00000025708,1005.2776207281,539.8091857829,1404.45437713
ENSG00000025770,203.508192905,188.0681627473,192.509940166
ENSG00000025772,740.165540682,1163.370400197,838.78242441
ENSG00000025796,536.765231693,668.309873205,468.696591766
ENSG00000025800,395.276646726,367.603186026,382.949666143
ENSG00000026025,14469.11822998,11379.45927683,15770.58354932
ENSG00000026103,729.922764753,796.753160262,1182.043783405
ENSG00000026297,3069.852322336,7661.238647446,7093.957138302
ENSG00000026508,3194.78828727,2438.17226161,3281.18643723
ENSG00000026559,16.2588076646,18.8188278233,17.7336930325
ENSG00000026652,207.4390731735,91.7985567002,182.3348414689
ENSG00000026751,1951.2725670747,948.95731778,1992.7668775107
ENSG00000026950,849.860838449,590.85399337,578.227310671
ENSG00000027001,138.5136735652,77.7048439227,108.8333566692
ENSG00000027075,3067.436732624,734.143098815,910.690421134
ENSG00000027644,22.8349777415,21.8863991334,22.5463165573
ENSG00000027697,1785.37526162,2570.842947705,3535.187382096
ENSG00000027847,208.343723853,165.2477908005,214.185885775
ENSG00000027869,1149.491160446,507.092933467,508.362934226
ENSG00000028116,710.781252962,606.856864845,885.914163735
ENSG00000028137,2206.0420263813,1243.3856507074,2048.450177708
ENSG00000028277,86.6998175196,26.8760357269,61.520831133
ENSG00000028310,572.425507022,670.519554937,499.965482321
ENSG00000028528,515.921953838,436.487411372,627.733998467
ENSG00000028839,839.703411605,854.398037007,606.963606589
ENSG00000029153,265.1733498604,174.1476154935,412.3139729208
ENSG00000029363,1469.467190969,1505.914041508,1197.656055078
ENSG00000029364,139.890034092,134.8760761891,157.7117948303
ENSG00000029534,64.1257180672,91.9784898004,52.2917781838
ENSG00000029559,35.86692845,52.3849514033,67.5998133663
ENSG00000029639,366.505458544,324.906356335,324.890936479
ENSG00000029725,187.4441773537,132.7754722896,154.771251668
ENSG00000029993,212.669711234,227.193631725,252.290263576
ENSG00000030066,181.7572135571,162.8405809935,143.0635469649
ENSG00000030304,50.6914177156,68.4778773775,51.081065716
ENSG00000030419,119.7412094153,120.182781557,97.1826800591
ENSG00000030582,3218.773926436,1773.957991085,5369.770642088
ENSG00000031003,1118.025113462,1440.160386732,1482.550989518
ENSG00000031691,99.5474191146,97.781037342,88.4040429137
ENSG00000031698,2236.5674687,1894.40655445,1708.33921605
ENSG00000031823,264.3103069339,184.1940068881,256.112419483
ENSG00000032219,443.583255292,635.877216604,665.885565805
ENSG00000032444,739.4747918773,553.0614296564,939.160827946
ENSG00000032742,398.966308405,562.232147118,401.495139402
ENSG00000033030,915.068353062,796.889069055,833.071250686
ENSG00000033050,266.775854574,173.7496483609,184.2679787352
ENSG00000033100,550.571712482,642.170489597,606.798050244
ENSG00000033170,229.8727557971,297.0454944669,116.5370845146
ENSG00000033178,408.130920429,405.407544302,393.879822887
ENSG00000033327,286.3784865286,417.1625563361,680.7693795828
ENSG00000033627,501.173313573,788.788069976,793.65657138
ENSG00000033800,899.534805105,1263.49884807,1359.079599142
ENSG00000033867,193.2749168813,146.0000712204,149.1806260971
ENSG00000034053,235.8773327469,142.109392183,61.7941140633
ENSG00000034152,947.255706762,1225.849263668,1345.921189605
ENSG00000034239,39.7606487649,78.2444699419,85.2382909455
ENSG00000034510,22798.5581052,17510.32132764,19295.5551928
ENSG00000034533,213.6917193049,143.7186879063,174.7621304565
ENSG00000034677,244.0547052404,88.3392297318,195.4874968846
ENSG00000034693,399.522586433,334.34930042,333.365317739
ENSG00000034713,2974.22062367,3949.55785835,4184.67793307
ENSG00000034971,78.2922855805,86.4236271391,59.5152066609
ENSG00000035115,924.519586879,1006.497974875,489.896540029
ENSG00000035141,1676.720494044,1969.123972722,1579.835422278
ENSG00000035403,371.139479024,455.69557464,477.400033447
ENSG00000035664,56.4462301723,267.3917526751,302.1879956722
ENSG00000035681,1084.211206202,2138.137524704,2402.938429272
ENSG00000035687,1202.379951646,1054.658054628,992.131094116
ENSG00000035720,281.7509996702,1415.8818047633,497.9165379235
ENSG00000035862,538.950607513,704.6517275171,1370.0253242474
ENSG00000035928,549.678000466,536.573524788,406.599241227
ENSG00000036257,347.764570881,425.707877119,392.367974042
ENSG00000036448,358.6309519663,152.0276808762,225.1098762517
ENSG00000036473,23.097880815,37.4735546049,22.0355967517
ENSG00000036530,95.2909422719,133.4424120822,111.9513152249
ENSG00000036549,627.160934037,592.213252767,593.266915571
ENSG00000036565,88.1667530411,86.2368138848,86.077456089
ENSG00000036672,27.3994208172,26.2946834798,25.1667106815
ENSG00000036828,39.9215906841,51.0710437126,52.3276298221
ENSG00000037042,101.8217379606,138.3514307259,104.2326391804
ENSG00000037280,69.9552067647,104.5216001769,107.9936721467
ENSG00000037637,394.887241137,311.076116713,406.941061589
ENSG00000037749,522.6232336608,354.1070991098,533.0469178689
ENSG00000037897,416.0137074,535.900073996,490.534263047
ENSG00000037965,39.9226564677,31.0685044771,43.4078886808
ENSG00000038002,381.365344479,439.83075681,343.458640924
ENSG00000038274,5497.25044588,5058.39718397,4790.11036417
ENSG00000038358,383.836604852,256.4607924659,310.752260304
ENSG00000038382,168.5679545252,76.5760669597,186.7587281319
ENSG00000038427,2071.7917444498,128.5531372886,659.0537388233
ENSG00000038532,393.058414439,334.438469723,344.719190276
ENSG00000038945,68.5987660543,53.1859657766,104.7967818819
ENSG00000039068,24.5862511017,26.3911342249,20.3481646976
ENSG00000039123,834.019373107,795.881654844,787.109858134
ENSG00000039319,379.975653273,365.1719660166,657.4102445821
ENSG00000039537,119.88935728,249.3002512304,127.112395889
ENSG00000039560,61.3969658294,44.4401702375,71.5577407395
ENSG00000039600,26.1220956063,44.6803277531,26.6443818742
ENSG00000039650,384.730252518,331.840020279,366.580981074
ENSG00000039987,30.5878352778,36.5606116954,41.6046544711
ENSG00000040199,506.446925744,685.485876883,480.085562581
ENSG00000040341,285.413120974,336.015592854,271.02225895
ENSG00000040531,448.195529736,383.135156352,670.611186495
ENSG00000040731,122.1869085599,243.2167936373,153.75878820330001
ENSG00000040933,247.1447472304,192.1101441437,180.2408284794
ENSG00000041353,60.3984554035,119.4572743181,103.4841914768
ENSG00000041357,3012.10978435,1760.16762784,2202.67740664
ENSG00000041515,13.5258095582,19.5557306361,17.0695582062
