Gene,Sample_1,Sample_2
ABTB2,327.684643189,389.599002471
ACAA1,716.563869364,835.865831536
ACAA2,340.6565555126,514.9512407357
ACACA,46.2667601601,68.6236948878
ACACB,187.6743186009,209.8191692898
ACAD10,211.3336671824,257.6454322778
ACAD8,509.339784267,491.092182772
ACADL,52.3551318485,45.218662468
ACADM,1317.732652459,1123.674685094
ACADS,242.982927893,267.717714561
ACADSB,NA,120.6274899063
ACADVL,2852.41236896,3362.31674371
ACAN,150.115804831,156.588496661
ACAP1,622.0653006656,656.93277743
ACAP2,1197.821235085,1065.301395142
ACAT1,1082.470371173,1101.064030104
ACAT2,640.93023913,632.480798321
ACBD3,933.534156079,959.846587812
ACBD4,247.8211146315,304.5383443702
ACCN1,46.2494957065,48.8659950419
ACCN2,186.6122763203,185.8772704854
ACCN3,332.608972909,311.717891719
ACCN4,42.3316882192,46.2374822206
ACD,358.5772376885,327.7579029423
ACE,37.2681308472,44.4250336696
ACE2,75.8984672902,61.4751585172
ACHE,32.1129295929,74.5268792535
ACIN1,456.834494493,506.931998976
ACLY,822.465650322,901.915922253
ACN9,152.5037624711,140.7376461671
ACO1,568.983248564,580.704208198
ACO2,1071.320549715,1298.397959154
ACOT11,120.5685984025,127.753781951
ACOT13,500.996389519,597.642405735
ACOT7,248.799265153,303.828862138
ACOT8,511.776870376,450.963328472
ACOT9,327.2950480886,478.81983669
ACOX1,177.903124509,212.936041054
ACOX2,60.5360428001,72.0899528255
ACOX3,160.8639031332,184.8077350525
ACOXL,5.7141293274,5.856051109
ACP1,839.198829116,840.441713701
ACP2,633.514018392,862.290146493
ACP5,1045.560791146,1250.323739419
ACP6,511.517418486,526.976848294
ACPP,154.2266090289,223.9009638022
ACRV1,512.038092148,456.080728073
ACSBG1,107.4136709616,103.5215113851
ACSBG2,236.1361923794,200.1169143013
ACSF2,60.4380175006,70.5838313695
ACSL1,339.513013375,562.632092793
ACSL3,257.801082709,293.452934591
ACSL5,655.612094625,615.914558513
ACSL6,164.2177491757,133.5770056927
ACSM1,8.2572170227,11.9042708111
ACSM3,89.1630865702,100.8060561964
ACSM5,140.2059158987,129.1412540794
ACSS3,227.977935306,216.026144038
ACTA1,31.721569488,40.9779673977
ACTA2,392.023434229,451.064323177
ACTB,18271.7421929,18205.5207989
ACTC1,239.2100405818,227.683489779
ACTG1,18904.5802138,18468.399234
ACTG2,166.2180743292,179.932531904
ACTL6A,325.7043323008,346.3622204073
ACTL6B,8.0805668419,8.6010346295
ACTL7A,14.0836325727,15.8086130294
ACTL7B,20.8660858453,22.7036899466
ACTL8,21.3145985868,23.442682391599998
ACTN1,682.8589902663,782.0907959599
ACTN2,83.1980610126,84.980047497
ACTN3,144.5205250102,140.8507432229
ACTN4,611.048256275,659.366225442
ACTR10,1507.778754858,1612.33278629
ACTR1A,464.575303328,562.423761813
ACTR1B,1176.805082014,1188.0059786
ACTR2,3693.79620794,3756.25581525
ACTR3,3941.00753285,3687.10750112
ACTR3B,86.3691254726,94.5641100083
ACTR5,487.866377498,425.822997957
ACTR6,387.44283873,374.030074316
ACTR8,355.226962271,304.283639401
ACVR1,379.289772194,447.832660251
ACVR1B,137.5536298485,145.0768741553
ACVR2A,450.60777095,440.446170993
ACVR2B,537.02314804,501.354590234
ACVRL1,105.5938758073,114.1969422042
ACY1,179.4984953496,212.2240578606
ACYP1,347.8009712128,299.7171470453
ACYP2,409.458992805,394.048900386
ADA,532.2796662602,565.49545965
ADAM10,377.562251971,398.681081302
ADAM11,46.8972858965,61.8690075915
ADAM12,180.7235099963,205.5495135707
ADAM15,54.3210205672,85.6716542689
ADAM17,316.1900852562,337.2888240707
ADAM18,124.8681092842,126.7417081084
ADAM19,606.614309164,569.8692180302
ADAM2,39.6625054946,27.6207121036
ADAM20,208.2270895901,189.3497286172
ADAM21,388.3500167138,338.311820583
ADAM22,26.503354254,25.9386909064
ADAM23,214.463098543,204.8827783816
ADAM28,599.6649853044,507.8437872989
ADAM29,42.9202740281,44.1546136592
ADAM30,158.8575253444,155.2764746634
ADAM3A,16.003182519,12.6874473456
ADAM5P,257.4887607661,258.7641754626
ADAM7,36.578267775,41.5851286867
ADAM8,244.4599850853,314.2630011445
ADAM9,160.473273833,337.8638201574
ADAMDEC1,351.7709226207,507.6668018148
ADAMTS1,78.964007034,NA
ADAMTS12,273.390071368,251.235010132
ADAMTS13,65.5030293081,58.5173971997
ADAMTS2,109.704094958,107.377815555
ADAMTS3,81.8617048785,93.2098574528
ADAMTS5,217.7072828371,192.1834342258
ADAMTS6,113.3252555057,109.498880996
ADAMTS8,21.8668640602,30.9157575169
ADAMTSL2,6.8020712475,8.6290838711
ADAMTSL3,139.6953139138,119.3859437809
ADAP1,450.932590303,464.996193826
ADAP2,262.037323369,341.313479023
ADAR,4085.72955409,4338.0287219
ADARB1,149.1103104748,154.784922142
ADARB2,32.5567474743,33.9281050994
ADAT1,430.884045477,390.451851885
ADCK2,321.188215958,302.940204855
ADCK3,826.23694731,938.572770433
ADCY1,110.2519915943,114.3501928173
ADCY10,101.4110111041,95.3862886153
ADCY2,192.6901578337,158.9797514886
ADCY3,325.530092222,350.027457236
ADCY6,199.0919090853,190.2205032182
ADCY7,885.328271352,931.597829741
ADCY8,35.4235335536,37.5170530391
ADCY9,90.5594463802,97.5982475571
ADCYAP1,247.0378275925,258.0033751052
ADCYAP1R1,114.6043269297,112.7807589616
ADD1,1339.565736851,1193.568070818
ADD2,158.3251121653,150.7797078318
ADD3,6422.520823901,5170.62963324
ADH1A,87.5624461223,96.4329264033
ADH1B,82.225147712,73.8582190128
ADH1C,17.0892298782,17.2058529945
ADH5,934.53773252,839.897746696
ADH6,89.1014908523,84.0887751936
ADH7,175.7509444971,154.0441490176
ADI1,1078.782659641,1298.412732956
ADIPOQ,149.2141092442,139.7494087416
ADIPOR1,1008.15627358,1112.693570231
ADIPOR2,1014.41936652,1133.906346585
ADK,761.230693951,718.373751035
ADM,186.1880496427,394.3395148414
ADM2,142.7699394294,155.6425756952
ADNP,1389.699406995,1312.630607181
ADNP2,510.431554885,511.703116143
ADO,456.482870836,523.393734931
ADORA1,143.0442949181,148.331396665
ADORA2A,461.92771082,478.7769585056
ADORA2B,157.8080512758,211.6304006868
ADORA3,310.28515964,366.267134363
ADPGK,2489.47768632,2629.40168817
ADPRH,45.3692394752,53.453571924
ADRA1A,52.5689938643,49.0998878298
ADRA1B,NA,51.6900889841
ADRA1D,39.5670103755,43.3029569318
ADRA2A,155.19055195,134.8425449226
ADRA2B,212.690075707,198.670311873
ADRA2C,32.0218689337,46.4377179317
ADRB1,8.5907453552,9.7722726993
ADRB2,553.2825186389,560.1425371188
ADRB3,19.2011596234,20.2674016099
ADRBK1,954.809218418,892.216802746
ADRBK2,261.258544132,309.380499881
ADRM1,1120.287563616,1181.333867198
ADSL,1447.894797402,1341.581249815
ADSS,1109.577409403,1030.595083981
AEBP1,71.2744921672,83.7326990273
AEN,272.7848692821,291.1856632377
AES,1939.909163064,1773.144593829
AFAP1,24.5495383916,26.7909437014
AFF1,291.37196473,307.058583202
AFF2,53.2360030104,50.3320488078
AFF3,12.4212707431,10.961555449
AFF4,180.6177499627,194.4584337014
AFG3L2,677.719018294,692.633270154
AFM,149.6808832582,143.4014406794
AFP,74.9971669388,82.4890088596
AFTPH,3786.22458385,3527.66298089
AGA,543.293445607,642.540136597
AGAP1,147.51572878140001,126.3567262822
AGAP2,99.4921132403,106.4074999258
AGBL2,142.901858297,132.4607316686
AGBL5,49.6960089923,64.9970029357
AGER,42.4991462619,49.2597240483
AGFG1,475.418036028,518.511635968
AGFG2,172.2458493572,155.1052205404
AGGF1,482.388189187,513.690413811
AGK,537.719660689,530.016340881
AGL,593.533416637,514.271777867
AGPAT1,1353.914551893,1278.681737994
AGPAT2,455.659075676,461.895345111
AGPAT3,188.1277978806,229.4640033892
AGPAT4,93.3327576744,112.4083319701
AGPAT5,1410.545583667,1331.277178977
AGPS,657.02645775,643.631006877
AGR2,5.6298340376,5.8894177028
AGRN,258.732772666,333.592983018
AGRP,224.7314070593,228.0452874663
AGT,269.9747079884,244.943047941
AGTPBP1,562.907597563,603.081556317
AGTR1,161.5482636708,156.7512304992
AGTR2,56.5920988199,57.4910306255
AGXT,11.2982221272,11.8831789719
AGXT2L1,108.613503078,100.7408456813
AHCTF1,133.3412906184,153.8234830696
AHCY,711.210134711,724.956758157
AHCYL1,1038.494659304,1144.279299324
AHCYL2,425.179279726,419.798630978
AHDC1,102.4218461966,108.6251900955
AHI1,429.150769608,424.946283641
AHNAK,825.2863756794,788.96443251
AHNAK2,76.054787094900007,69.2702996763
AHR,156.9053663018,245.3681044117
AHSA1,1020.0784626439,1097.6920904007
AHSG,25.3466743183,30.2980875268
AHSP,106.5724018792,108.7571015361
AICDA,82.2039316232,95.3782214612
AIF1,437.1365868402,822.0832090454
AIFM1,779.760465478,771.267409257
AIM1,2719.579595044,2237.393999669
AIM1L,31.2531150169,38.7478526044
AIM2,1343.2759014992,867.8888836084
AIMP1,948.966331299,891.751919027
AIMP2,1057.060307542,1151.473662506
AIP,1314.670098334,1199.545894571
AIPL1,125.2053382143,127.8583117551
AIRE,63.0556265173,77.2735444447
AJAP1,77.6469424548,68.9481743532
AK1,334.9899061189,336.095686372
AK2,682.92752918,641.288478165
AK5,272.4219388912,251.8093122485
AKAP1,620.987714712,556.742422065
AKAP10,233.726359861,247.899454388
AKAP11,1888.98477484,1599.999322123
AKAP12,90.174656542,131.3414400616
AKAP13,928.21726221,893.416439874
AKAP3,40.4179839614,44.3554167233
AKAP4,34.1904079564,35.0238085043
AKAP5,74.0119065355,85.3096808019
AKAP6,51.3836787064,48.0720084629
AKAP7,318.03567083,293.1074566558
AKAP8,718.448606644,680.853537893
AKAP8L,511.254855412,483.255333897
AKAP9,282.319291858,258.293201241
AKIRIN1,716.259996867,718.520409524
AKR1A1,1449.570661142,1715.98129789
AKR1B1,4111.10002358,3732.074930484
AKR1B10,145.936016072,132.5491885572
AKR1C1,157.0293734437,231.8387237012
AKR1C2,20.68767421,22.0115796969
AKR1C3,238.431512008,335.3690613874
AKR1C4,10.8188376754,11.8540062967
AKR1D1,74.8216673944,69.6053406002
AKR7A2,821.375131711,780.997583496
AKR7A3,202.4702962539,202.5742857492
AKT1,634.856337146,607.936298426
AKT2,45.4152939768,49.3313338464
AKT3,161.5634351815,164.7453822386
AKTIP,954.572272223,919.907689356
ALAD,139.4291306328,166.6204044978
ALAS1,354.0148410492,580.217553
ALAS2,9.5456308686,9.8457008149
ALB,63.71168356,61.1332603622
ALCAM,438.7216865915,607.164804206
ALDH18A1,858.549283277,848.786371596
ALDH1A1,85.638213985,152.8197536087
ALDH1A2,74.1000779902,109.5609870082
ALDH1A3,17.569538944,21.9996219164
ALDH1B1,208.21055049,207.676465426
ALDH1L1,104.914083047,100.970532368
ALDH2,581.911038883,945.106902068
ALDH3A1,25.574615937,31.1649349799
ALDH3A2,384.639823028,449.547511029
ALDH3B1,139.6938994122,181.8901226583
ALDH3B2,71.266520261,68.9238380647
ALDH4A1,53.4029124695,59.1082004377
ALDH5A1,139.2706711197,135.6561673216
ALDH6A1,573.769371278,577.164796185
ALDH7A1,100.1303321749,108.1552629228
ALDH8A1,71.9552029865,82.0902039482
ALDH9A1,1463.494507167,1389.274330107
ALDOA,6004.68324607,6481.08437999
ALDOB,17.7974214842,18.9742899903
ALDOC,708.406894895,882.504156016
ALG12,115.6325179543,128.92314581
ALG13,321.243028853,332.960747427
ALG3,575.046352962,630.792249222
ALG5,2228.821388286,2351.957617037
ALG6,1252.358949774,1128.545386113
ALG8,971.072501748,1022.883339612
ALG9,481.231346143,545.306646153
ALK,97.9710191794,104.5802143543
ALKBH1,667.439708272,694.022614454
ALKBH4,142.93301742,164.514464047
ALLC,24.0797194811,30.3414956114
ALMS1,212.1459474287,198.8124688808
ALOX12,32.1468017145,35.7471026434
ALOX12B,17.9707081405,17.5289681568
ALOX12P2,57.825325431,60.1430836257
ALOX15,16.7621480493,136.9409942226
ALOX15B,136.8688194111,154.1268852502
ALOX5,819.656307701,587.3728797178
ALOX5AP,3112.639872899,3003.975696434
ALOXE3,76.2144845385,73.8696506053
ALPI,6.0206736367,6.593992159
ALPK3,65.1807080607,68.3022272444
ALPL,74.178166786,70.5896982504
ALPP,10.186229965,11.3140200748
ALPPL2,45.7771406382,47.390939924
ALS2CL,712.594315167,692.374704047
ALS2CR8,105.3128266446,90.4688194411
ALX1,36.9741582423,38.2508871465
ALX3,309.0441520995,293.724270289
ALX4,27.8129917916,35.7267994399
AMACR,152.609875163,156.7779323864
AMBN,43.5243577822,49.4257419166
AMBP,9.9004978784,10.84812091
AMBRA1,220.2627019168,220.7437483702
AMD1,1203.015651406,1211.996805652
AMDHD2,129.3095660515,141.0213501443
AMELX,34.4664391294,34.2809785814
AMELY,24.027858303,26.8133451788
AMFR,682.294047598,510.732763598
AMH,57.1041599025,64.4917171072
AMHR2,24.1245721745,29.3938125821
AMIGO2,704.9269708161,527.002926161
AMMECR1,401.469103167,366.755926782
AMN,180.0900448483,247.159832224
AMOT,1268.324962137,1053.008503455
AMOTL2,101.8803142261,112.2143438723
AMPD1,502.2026387923,656.4131705606
AMPD2,772.775564611,870.185287869
AMPD3,481.198215364,461.864407315
AMPH,258.7629972725,238.6541027626
AMT,1001.567202912,940.505019503
AMZ2,1849.49770231,1768.744408672
ANAPC10,286.670050101,314.878575201
ANAPC13,2604.71257552,2552.16451016
ANAPC2,425.83481675,486.191920135
ANAPC5,1412.61479896,1354.523042181
ANG,101.2221026045,136.2622765186
ANGEL1,388.233148116,357.351685853
ANGEL2,432.558278254,415.449380084
ANGPT1,235.1126423474,239.92220346
ANGPT2,22.3127656926,18.6987668249
ANGPT4,62.0855619535,68.900808553
ANGPTL2,202.2328596035,192.268448304
ANGPTL3,46.6934494547,40.3491836185
ANGPTL4,39.149383441,53.2837338377
ANGPTL7,32.8664493518,26.3396662582
ANK1,118.5432732787,106.8583017589
ANK2,155.8414782489,139.2857637676
ANK3,185.8940150988,166.8732037309
ANKFY1,358.355427551,370.986559148
ANKHD1,1326.507306492,1246.187743268
ANKLE2,329.96296899,342.084234713
ANKMY1,39.38372712,29.3145338037
ANKMY2,935.077316718,854.065688819
ANKRA2,1234.468770387,1075.715076603
ANKRD1,48.3200508084,47.9856534412
ANKRD10,1399.214476976,1286.139016126
ANKRD11,415.3148120568,463.2426901362
ANKRD12,530.04774444,532.411990084
ANKRD17,561.662786468,592.34209981
ANKRD2,32.8048015211,42.5704077925
ANKRD26,136.9847014407,133.4237374105
ANKRD27,606.421445561,605.254297739
ANKRD28,454.7385971858,488.228989045
ANKRD46,293.371537068,294.567799506
ANKRD49,1106.125782874,1122.360481469
ANKRD5,84.7139064739,84.1178165895
ANKRD55,390.4561914231,477.4860912444
ANKRD57,172.1341965525,189.9264369183
ANKRD6,123.2502921922,127.5369421061
ANKRD7,84.0516586046,90.9616853071
ANKS1A,202.503116579,240.946666686
ANKS1B,67.1372285929,70.6144076458
ANKZF1,389.7926787143,489.5300713781
ANO1,15.1611123768,15.7859187819
ANO10,66.1873639205,97.3774394204
ANO2,30.3602987397,35.6026404099
ANO3,43.2512940785,39.739773872
ANP32A,178.5075774339,233.0047906561
ANP32B,5934.04622009,5287.23038525
ANP32C,12.5110942819,11.70072312
ANP32D,25.2091281398,23.311790252
ANP32E,1088.78135045,975.92742243
ANPEP,140.2120270977,385.9902703755
ANTXR1,23.0667561568,18.9724987186
ANXA1,2441.67511804,2845.744632056
ANXA10,23.1254559612,22.6978007409
ANXA11,959.564277873,982.809861379
ANXA13,75.6862775461,83.1127744092
ANXA2,3493.530838195,3947.520623828
ANXA2P1,63.9512562878,71.4707634354
ANXA2P2,308.0049217412,354.5973403174
ANXA2P3,121.2421596811,135.363018114
ANXA3,97.3291262614,116.2886899257
ANXA4,1237.169053601,1009.268268106
ANXA5,2240.832897952,2638.196027676
ANXA6,4023.706272074,3440.76656261
ANXA7,1568.835502386,1554.21938377
ANXA9,69.0147691797,55.4132868921
AOAH,444.0986400312,723.3312624734
AOC2,195.40996829,189.3657598724
AOC3,74.4638435756,75.0891595408
AOC4,53.7913684307,62.7690360873
AOX1,41.9698146163,41.0284740775
AP1AR,229.106676176,233.2909130622
AP1B1,478.716720824,552.041188318
AP1G1,263.8584897296,359.274946042
AP1G2,706.139923086,665.902636889
AP1M2,91.8902418531,88.3492130571
AP1S1,158.0540519457,155.465989107
AP1S2,1059.539759402,1198.511312455
AP2A2,720.335087561,741.628143659
AP2B1,886.729974533,842.141272853
AP2M1,1838.607102524,1984.19005829
AP2S1,1241.916509592,1404.065741604
AP3B1,684.283995594,668.777707146
AP3B2,113.0048308446,119.8017179479
AP3D1,304.1687909286,365.56120781
AP3M2,640.795842727,657.720200729
AP3S2,419.551772124,442.383358599
AP4E1,30.9290200176,27.7920585507
AP4M1,46.2812274497,56.6984274945
AP4S1,118.9301729693,116.9150073961
APAF1,280.431959103,283.044738737
APBA1,38.9103093827,51.9510774565
APBA2,319.3073892492,291.9231056393
APBA3,244.3080447446,308.1160316629
APBB1,161.6547612332,168.5053776401
APBB1IP,360.1857041562,350.4360691124
APBB2,31.3649715142,32.355395387
APBB3,642.135245488,681.191030032
APC,146.229727216,152.881396279
APC2,19.1047885888,21.7277378137
APCS,212.7831323388,186.3557003386
APEH,506.767369108,519.45555331800006
APEX1,2778.31420879,2621.753512712
APEX2,291.342929497,305.033882838
APH1A,1460.242736315,1333.629147974
APH1B,519.751047165,554.031632488
API5,457.731009598,466.844919086
APITD1,165.0609243774,208.2343451292
APLNR,48.0963205665,45.1873369753
APLP1,17.927447051,17.0240754147
APLP2,1364.636431617,1653.007727073
APOA1,98.2331814683,101.9856995978
APOA2,26.3136094005,31.4869294715
APOA4,39.3820074644,49.5626610465
APOB,127.4031470519,117.4762276774
APOBEC1,212.89079857710001,199.8501358362
APOBEC2,179.015734177,194.141720007
APOBEC3A,175.4580246399,417.7071190709
APOBEC3B,466.7951033396,621.6106427953
APOBEC3C,410.143753894,394.174805401
APOBEC3F,23.4142408584,31.7025527909
APOBEC3G,1739.537756869,1557.442404653
APOBR,174.8765604288,266.5450666942
APOC1,378.1392822153,203.649853996
APOC2,197.4958650956,227.579973868
APOC3,19.4608471421,26.1138660481
APOC4,199.018221183,208.683889497
APOD,203.46518097,205.352766439
APOE,174.1513437414,185.1041651613
APOF,25.3043669669,25.9415831475
APOH,8.1244525991,8.0105743221
APOL1,232.4974423127,361.5645333288
APOL2,100.0832777841,140.1144316451
APOL3,884.079529333,1161.822175733
APOL5,36.8470200198,45.9360398485
APOL6,30.8806326335,55.3396495301
APOLD1,40.4050350101,56.6906405571
APOM,309.592537476,290.863109805
APOO,341.879013658,385.03889136
APOOL,105.9337545995,120.7761666075
APP,393.907720885,447.930994865
APPBP2,283.554926505,295.576958248
APPL1,321.3311730178,327.2943443663
APPL2,262.739795784,258.670411624
APRT,1113.755658228,1089.460105378
APTX,464.679055465,471.123574931
AQP1,159.9726737338,157.105162555
AQP2,568.254141336,515.559964127
AQP3,1216.762824264,1152.145581619
AQP4,8.7535948349,9.2942744273
AQP6,48.0010533975,48.2522864598
AQP7,11.4614799355,14.1548702334
AQP8,380.425345319,366.604924793
AQP9,137.7601395965,358.8970485112
AQR,1016.803065438,1050.315746704
AR,187.3872147766,185.9153541884
ARAF,1011.098458901,1024.473806493
ARAP1,444.182772926,522.110070785
ARAP2,930.986314698,764.34213386
ARAP3,262.8479126468,331.4359129656
ARC,12.361121884,13.9485283351
ARCN1,1447.464680846,1599.55415109
ARF1,3322.83642159,3493.1625769
ARF3,817.555789337,955.923236631
ARF4,2183.00716388,2577.97925715
ARF5,922.618421241,841.749419198
ARF6,1550.448920638,1212.729788794
ARFGAP1,528.438760825,573.479481012
ARFGAP2,1871.522968968,1768.326840942
ARFGAP3,1135.788276442,1281.103748781
ARFGEF1,707.469571085,719.869571414
ARFGEF2,480.509433405,483.911482345
ARFIP1,244.192401249,262.117925066
ARFIP2,534.728722531,626.960089809
ARFRP1,246.075227236,279.545132941
ARG1,77.9344388497,106.4941625371
ARG2,167.4886125435,212.4370116782
ARGLU1,3880.592733985,3132.12591162
ARHGAP1,1286.241780696,1237.80533859
ARHGAP10,455.055492378,443.537871257
ARHGAP11A,67.4848574345,66.1267682631
ARHGAP12,298.6953961238,273.504641622
ARHGAP15,2356.562527854,1960.964839687
ARHGAP17,1448.564946292,1207.499014824
ARHGAP19,210.0051913874,228.4764135716
ARHGAP22,44.5922995921,67.5662168086
ARHGAP24,231.1233116774,209.0406094424
ARHGAP25,1853.383065662,1651.690888411
ARHGAP26,110.846121806,142.8883146986
ARHGAP28,62.5715356262,59.8234155205
ARHGAP29,196.9761121797,169.628439945
ARHGAP32,101.0547844801,112.9414296519
ARHGAP33,85.0623719916,97.4293796254
ARHGAP4,396.3750270351,385.300474745
ARHGAP44,16.7861390381,19.2138539728
ARHGAP5,438.302834748,371.0469964806
ARHGAP6,28.2910966624,36.887753048
ARHGDIA,646.770975534,673.493945228
ARHGDIB,11661.368580363,10196.351573022
ARHGDIG,135.0134892427,140.9522335851
ARHGEF1,1318.429405351,1363.292827445
ARHGEF10,97.8187468602,85.0942262855
ARHGEF10L,231.488612555,321.222636781
ARHGEF11,158.359832231,215.5898416909
ARHGEF12,147.52399352,155.2956247935
ARHGEF15,258.836914829,255.81266513
ARHGEF16,201.786865017,220.323859293
ARHGEF17,33.4343889537,35.7586004472
ARHGEF18,3798.096215636,3494.608692226
ARHGEF2,948.579064523,934.108813009
ARHGEF3,1494.569417316,1381.886750786
ARHGEF38,325.8238763824,275.8238731264
ARHGEF4,125.78675247,122.7080522516
ARHGEF40,104.6005261261,256.3472130956
ARHGEF5,86.3063028745,95.6833966688
ARHGEF6,1872.985636195,2142.793035175
ARHGEF7,802.99267701,761.742215976
ARHGEF9,125.7522088062,140.5236394374
ARID1A,1181.258884518,1063.804969748
ARID3A,193.9127848166,225.9512543742
ARID4A,487.545205814,482.683017538
ARID4B,1594.180922648,1461.198926238
ARID5A,427.6738374217,587.4643138175
ARID5B,2662.48233591,2471.05423251
ARIH1,480.687785099,551.600302896
ARIH2,294.589445005,310.569038921
ARL1,421.647929704,469.236068771
ARL14,18.0365468432,11.7321111763
ARL15,77.8331257616,85.1220952657
ARL2,335.9034654007,331.5130622785
ARL2BP,1291.392904433,1153.626359904
ARL3,303.892260551,323.937935083
ARL4C,2779.824095757,2325.880604656
ARL4D,263.437935323,267.989477475
ARL5A,2638.950997188,2403.255789704
ARL6IP1,2463.25861941,2282.74253123
ARL6IP4,1283.766849297,1228.122630219
ARL6IP5,4400.55816986,4326.89127455
ARL8B,1489.599212116,1895.4138619
ARMC1,630.81253977,643.628358016
ARMC6,244.37615921,269.683345139
ARMC7,210.4560917131,267.3907352507
ARMC8,419.913922997,372.403074468
ARMC9,32.8217643491,35.941226585
ARMCX1,77.6148613041,102.7303196539
ARMCX2,159.8205338628,139.4690277406
ARMCX3,673.995010095,858.745002974
ARMCX5,292.379784828,297.283905212
ARNT,137.2244107037,153.3052634325
ARNT2,31.1485183378,29.6963221701
ARNTL,330.8354584373,411.7352570427
ARNTL2,184.9785796458,265.5714667492
ARPC1A,640.304730365,794.263241066
ARPC1B,6378.17795613,5990.45461525
ARPC2,6428.47437634,6220.99550929
ARPC4,838.787649811,717.259820612
ARPC5,4777.17383602,4495.38158052
ARPC5L,2573.448954964,2103.816959015
ARPP19,1139.124491062,1083.639511694
ARPP21,24.697695788,17.8432883194
ARR3,321.3936120277,307.620474005
ARRB1,41.4395428328,80.7418514662
ARRB2,832.2587927427,1009.8003323611
ARSA,295.1414728531,366.6695282357
ARSB,231.0133566578,254.6250036516
ARSD,21.6482650574,27.8274083261
ARSE,206.743042624,191.708446303
ARSF,121.6460170604,113.3445144902
ARSJ,51.7184295305,44.7107739077
ART1,345.645255875,327.752775447
ART3,70.4185338262,67.3668304332
ART4,108.0326763888,94.850579896
ARTN,33.8682865313,37.1875736918
ARVCF,71.4627284488,91.4726619023
ASAH1,2127.304988983,2367.358168131
ASAP1,451.359299871,487.957831595
ASAP1-IT,225.6414196299,204.686505366
ASAP2,100.8143284238,100.7530134022
ASAP3,37.0168526021,36.9860073528
ASB1,204.914836632,207.874944759
ASB13,185.159718316,200.4431983236
ASB4,85.1960790305,85.7246104996
ASB6,189.9931231574,211.138025392
ASB7,172.9872796772,180.643007823
ASB8,217.852231426,258.010592049
ASB9,77.093791773,71.0201398201
ASCC1,433.182657487,424.158997074
ASCC2,216.1078576554,255.776102091
ASCC3,526.313979369,586.0866076796
ASCL1,65.9079434162,67.7720795632
ASCL2,2.2329421771,2.0794241008
ASCL3,153.5358999604,174.4367006976
ASF1A,637.27456727,602.664969842
ASF1B,732.6187591944,668.9068472638
ASGR1,46.690007736,76.394254127599993
ASGR2,62.194903657,113.8944404188
ASH1L,623.615975973,583.600713594
ASH2L,1151.667929449,1158.934298184
