Gene,Sample_1,Sample_2,Sample_3
ABCF2,266.775854574,173.7496483609,184.2679787352
ABCF3,399.750265806,507.072815805,453.302163584
ABCG1,234.3165107355,380.451771526,471.3009357554
ABCG2,193.5095749285,303.9910721104,191.8585315377
ABCG4,209.900458951,340.305072588,235.137079293
ABCG5,14.3784920975,25.4573648469,26.7196891757
ABHD10,845.242807178,998.083025842,835.350779452
ABHD11,382.451946202,515.925979096,416.842539266
ABHD14A,433.593069993,553.571570089,351.114748936
ABHD2,609.4983155562,586.432887127,732.9449362438
ABHD3,1063.145499597,763.477839279,973.091650058
ABHD4,663.517255468,1128.864172587,955.124899803
ABHD5,272.852013038,597.09953682,684.865938326
ABHD6,207.6835676728,147.7501490332,270.523024706
ABHD8,82.5046011854,30.5628275596,74.3384593316
ABI1,1602.679248648,1593.861801448,1663.20962222
ABI2,379.946618998,624.560306155,400.08521436
ABL1,686.532047854,635.581082862,640.194861671
ABL2,197.099514241,314.303931668,262.516259963
ABLIM1,754.830057549,938.4417779306,304.8576969244
ABLIM3,17.819561,24.446189635,19.0259770658
ABO,18.5375439686,19.1156466822,22.6126517034
ABP1,91.0029831884,187.6368064668,201.2092340038
ABR,572.26804697,483.770988226,733.612884538
ABT1,649.214452585,408.205702706,519.025766777
ABTB2,294.586952609,613.398421609,756.584334074
ACAA1,712.409619766,1007.777508988,1069.295693329
ACAA2,1116.7710943592,342.0532456982,885.9075798097
ACACA,81.0336827028,92.235090259,109.8350464613
ACACB,120.475315457,229.6380640731,209.1967431957
ACAD10,171.8493283349,212.224031542,236.2229616585
ACAD8,425.557757994,489.86975271,435.161273174
ACADL,39.8069933708,52.8513624578,39.2611922145
ACADM,960.257876009,991.183354768,663.127024318
ACADS,290.137278288,222.356713094,269.524025531
ACADSB,92.4870415241,98.2307465517,92.3779113129
ACADVL,2396.95675825,2483.71518555,2269.51778805
ACAN,141.983266324,215.869070095,227.875956482
ACAP1,466.7711046651,416.3047121485,348.82484118
ACAP2,1052.655642104,1371.768573033,1264.775046609
ACAT1,854.93392472,820.2630054944,732.933318688
ACAT2,816.335100982,568.631378496,624.157112098
ACBD3,588.169874257,859.205174644,577.113754774
ACBD4,226.2190979507,174.55194497,189.2945480476
ACCN1,33.3649358281,47.0267470629,38.7365158265
ACCN2,95.4192099551,182.178295144,116.0439435539
ACCN3,189.330327702,351.066657248,240.284560279
ACCN4,50.6951300561,58.7834689044,62.7580851522
ACD,460.6931009267,275.8778748232,312.172458495
ACE,60.985855647,39.8096957888,133.6871050703
ACE2,42.4266270603,79.679846777,57.3422090815
ACHE,88.2404321504,26.2520614477,156.119247016
ACIN1,486.612697759,304.93455216,384.612563573
ACLY,966.194387298,737.067884024,869.678179114
ACN9,112.6629674585,108.3937500774,74.360623448
ACO1,571.327886589,602.412517277,629.937445593
ACO2,1076.133196601,792.703465701,887.825888647
ACOT11,133.7546996291,173.1845977094,194.0600994674
ACOT13,773.229984091,460.002535245,772.387630789
ACOT7,306.474931852,229.686555041,319.611396847
ACOT8,386.982414465,466.002140278,360.186646821
ACOT9,605.508061417,806.2043599169,1136.551365337
ACOX1,308.723258409,389.390567042,526.080427244
ACOX2,60.9638345543,49.0180488577,47.8360352567
ACOX3,183.2333268302,132.3780139973,179.8659729672
ACOXL,9.9348462941,4.2935349902,7.2217332787
ACP1,669.274839078,587.826880343,449.538321679
ACP2,1005.31143116,579.456606518,1416.487279274
ACP5,1919.918370275,1148.43253366,3095.048626525
ACP6,437.050394805,489.916602273,468.411260658
ACPP,178.1258799514,531.1329649221,613.6363836728
ACRV1,255.52794886,530.5935332,322.648207538
ACSBG1,57.9665218215,116.3716250614,84.693216271
ACSBG2,117.9573288829,242.2768490923,142.6575522345
ACSF2,78.5681148863,72.5351810128,97.8335479429
ACSL1,1015.709892154,2191.546370705,3061.950783166
ACSL3,347.568608934,292.557818033,398.416973154
ACSL5,665.245459006,547.624281522,490.103309253
ACSL6,85.4222130078,115.8791436985,63.4790498405
ACSM1,8.5597164768,6.9615104483,8.3733540069
ACSM3,73.1602560401,124.1879817276,121.4832287474
ACSM5,90.7499139787,144.3565193608,126.1055755156
ACSS3,154.570525091,237.1437277235,171.378315833
ACTA1,41.1312058002,33.2607867976,50.7142598415
ACTA2,517.901974805,353.864091528,492.27383393
ACTB,24549.0370161,17408.3443839,22578.5065305
ACTC1,204.3578884086,249.574474956,247.3172889144
ACTG1,21421.8520767,17051.3792579,18516.6362554
ACTG2,175.9723043154,162.060484023,176.3743335346
ACTL6A,363.1255483989,236.7389444361,250.2571195331
ACTL6B,8.2453183451,8.1968992871,8.7611165199
ACTL7A,14.5572538605,15.4027136165,17.2509799062
ACTL7B,17.9066739772,28.4002770353,26.3359093409
ACTL8,25.5899360839,23.0412268978,34.8637358278
ACTN1,776.6808396851,1289.0663890238,1789.544053453
ACTN2,53.5076452811,82.5833651776,65.1972053146
ACTN3,114.5107729628,160.4710531633,139.3172332905
ACTN4,537.004871185,642.60306235,613.150721278
ACTR10,2054.55756629,1712.48654457,2011.69035871
ACTR1A,786.533616572,531.466738381,898.785210835
ACTR1B,903.539266273,943.140381542,754.625747126
ACTR2,4729.7077431,3696.5143306,4019.1793254
ACTR3,5085.76015764,4135.26938752,4675.26329274
ACTR3B,84.3181156296,97.1846939849,97.9320535273
ACTR5,329.31304028,406.881116485,262.642751039
ACTR6,514.578021493,296.2207304065,378.889750383
ACTR8,273.797472759,372.727999785,298.790658334
ACVR1,444.602045304,442.113489686,543.620649143
ACVR1B,168.7052706521,174.4249518164,201.9694680832
ACVR2A,358.433951322,453.274718525,423.905859835
ACVR2B,387.860133211,543.125545875,400.325457737
ACVRL1,78.9845447615,82.4994726918,84.3079267104
ACY1,266.5098385806,202.3859488652,286.6140782362
ACYP1,308.6813496008,189.0815093461,141.3627164477
ACYP2,356.55851537,343.183370351,299.929398474
ADA,764.294491758,352.0549638024,631.986353425
ADAM10,481.495796614,351.708545736,436.804090981
ADAM11,50.8002334734,43.3280036817,63.3965149958
ADAM12,150.1204948833,298.350617361,296.9381320351
ADAM15,101.2658742639,34.1068634867,95.3390784834
ADAM17,354.7463116341,400.985193939,434.3553809579
ADAM18,84.579559915,135.4181339642,116.5710596743
ADAM19,259.7819062822,664.8176166554,443.9482243896
ADAM2,27.6732575167,45.1303382786,37.143537026
ADAM20,137.8966779839,227.9649747847,167.2878618528
ADAM21,280.8290278518,408.0444230118,300.728870271
ADAM22,22.3245559448,32.4018110084,28.9066040091
ADAM23,149.4283294178,210.6629982418,168.0293737602
ADAM28,101.5430563934,605.8435735763,200.4945466101
ADAM29,31.5432132754,58.5083751012,50.8769171199
ADAM30,113.6470133209,160.6281966434,126.9314056372
ADAM3A,15.3671081046,20.6152403267,23.0790293492
ADAM5P,151.3454558671,277.4470707222,190.6950876563
ADAM7,31.6434877588,42.5983882893,41.1624400976
ADAM8,373.4158068169,532.1157276594,639.1781367966
ADAM9,591.9278033962,448.7709390526,1124.61697723
ADAMDEC1,1011.7535298878,446.630648021,1824.456385207
ADAMTS1,149.5644125344,65.5631599829,59.822147349
ADAMTS12,168.691348748,317.486791528,230.992334474
ADAMTS13,58.2544116227,66.0852589595,63.5867192112
ADAMTS2,85.4330569606,124.3617958883,104.8564850695
ADAMTS3,56.8473955137,157.3848106529,116.2821716821
ADAMTS5,110.6454973051,211.2186272591,113.3186367698
ADAMTS6,107.3275395006,157.9629181659,149.7247474196
ADAMTS8,25.7621982103,17.1657623053,22.3467885531
ADAMTSL2,7.8462436347,7.0958451828,9.4653697149
ADAMTSL3,70.5003392713,138.5968593922,84.8692982153
ADAP1,624.105835173,676.080596136,825.757381393
ADAP2,508.869439412,339.556540287,738.308947262
ADAR,4585.39952438,4077.65661051,4425.43823784
ADARB1,121.48786082,161.0709889602,141.9642605662
ADARB2,31.9647646109,36.1512882771,35.9019661491
ADAT1,343.814336655,404.129269761,348.482124332
ADCK2,268.594981486,261.728152729,224.956573332
ADCK3,604.156143457,875.588009269,800.342818386
ADCY1,77.2060709525,112.6668850906,95.3079194798
ADCY10,62.6325595405,110.3298962159,83.000327174
ADCY2,103.1299836518,193.2982436602,115.4762243806
ADCY3,338.269854803,297.776882769,406.810146023
ADCY6,149.4336421344,216.7855153253,187.3442151214
ADCY7,1627.523821167,777.831036653,1107.982620657
ADCY8,28.8535268435,54.4409428576,53.716458052
ADCY9,215.1705896347,68.4924734608,133.5274815489
ADCYAP1,184.1891796411,437.2623150213,338.0008404404
ADCYAP1R1,126.3860845454,108.1634457412,110.70940325
ADD1,1017.820473797,1187.401812458,887.150544853
ADD2,64.019782918,144.9234448099,79.7432187027
ADD3,3413.667351646,4637.214946542,2062.31807403
ADH1A,77.7264471884,104.4714259506,96.0456474552
ADH1B,64.759491338,91.5030363943,74.2144993012
ADH1C,11.5881504467,14.1019078348,9.1212101139
ADH5,979.904101669,739.237089192,764.434324781
ADH6,66.4941486782,94.5500006657,76.173257462
ADH7,133.670601368,178.8440034505,134.6267773411
ADI1,999.635292617,1393.399410981,1531.138520299
ADIPOQ,100.0951002847,166.7999883653,124.6651652854
ADIPOR1,1042.062020211,1270.105067619,1497.23267097
ADIPOR2,1340.703235225,1540.376555867,1692.316086423
ADK,490.970567135,650.268862738,567.843121171
ADM,343.7489336042,1336.1960325342,1732.0954296899
ADM2,146.5803739404,189.4962709575,197.9788158626
ADNP,1489.595318663,1505.1566283289999,1495.972615114
ADNP2,450.178446309,582.644447566,565.162067164
ADO,838.968256661,469.224110035,773.886083759
ADORA1,149.6356001031,151.7864862864,158.3025567768
ADORA2A,408.7460912418,529.1775590968,593.9932079222
ADORA2B,199.917992966,497.3446927855,533.912952111
ADORA3,231.66364498,667.81737115400006,757.9848163168
ADPGK,2431.50868328,2878.94366799,3070.41583058
ADPRH,69.0862608075,58.5382402899,83.3531215845
ADRA1A,45.4160220933,50.909563212,45.1356785771
ADRA1B,33.5441930551,41.728039539,39.3694691595
ADRA1D,27.0246420145,44.4546170964,38.3476609744
ADRA2A,88.7341707266,185.433509944,128.4362320887
ADRA2B,176.8328932616,227.0068684238,202.7420737752
ADRA2C,40.7837957362,41.648062041,58.0252237161
ADRB1,10.3645991189,11.8932711329,15.3090607487
ADRB2,1258.9939611391,1117.0227347518,1168.0352966389
ADRB3,17.2058402787,22.1208372467,22.0765383396
ADRBK1,1104.53770956,820.830332436,829.43165164
ADRBK2,360.306760261,322.528049951,430.948930951
ADRM1,1322.726151109,975.492169032,1145.993299596
ADSL,1221.220296432,1079.994986469,894.233180983
ADSS,1202.379951646,1054.658054628,992.131094116
AEBP1,46.8988019402,70.903833085,56.1406213611
AEN,220.6896309353,229.5271728722,205.653946571
AES,1424.735173862,997.1044139829,655.912205471
AFAP1,23.1392625344,18.5458350984,16.8676424007
AFF1,227.491845612,316.347615609,285.229771285
AFF2,34.9952289586,56.474949297,41.6066067549
AFF3,6.8663845142,11.5848601739,7.7821380238
AFF4,153.3891617156,267.5243762939,257.2624863934
AFG3L2,618.247556587,586.919255173,538.801923527
AFM,82.872246607,149.0880794213,94.631680422
AFP,65.6587795796,72.0244460941,71.0768798226
AFTPH,2136.34337067,3766.40400898,2521.49035936
AGA,381.365344479,439.83075681,343.458640924
AGAP1,166.0137358674,150.5711929486,110.35072644
AGAP2,93.6483794417,90.9983335629,93.2642230641
AGBL2,88.8289950861,127.9011752916,87.1937896958
AGBL5,50.3739265606,41.2072842614,47.9895255195
AGER,35.7558368558,39.1039247917,41.4240016708
AGFG1,582.783901449,525.945404333,639.576175481
AGFG2,131.554140337,142.4799763108,124.77977706
AGGF1,614.37048321299994,448.166173997,574.337614335
AGK,674.845713651,400.937604821,378.350293877
AGL,560.014220302,526.579422524,454.254406459
AGPAT1,981.06221391,1273.366522453,1035.898491069
AGPAT2,398.737288381,539.116138725,503.825235975
AGPAT3,238.8235701714,169.3453647587,237.236637639
AGPAT4,207.4390731735,91.7985567002,182.3348414689
AGPAT5,739.300186716,1207.347247424,506.477153778
AGPS,716.048109131,623.210035109,668.409091344
AGR2,7.0283228398,7.9126760448,8.5219298586
AGRN,360.641956434,297.252434586,491.15291046
AGRP,117.7097409102,214.5686354315,118.822823778
AGT,169.6599616522,272.4615929394,184.0044799824
AGTPBP1,913.380521586,912.049165586,1068.090398774
AGTR1,96.6437237896,157.8588860232,104.4838394604
AGTR2,37.0261675897,68.0805297069,54.8194029902
AGXT,11.9483995023,9.5716836366,9.7584288382
AGXT2L1,56.7629779105,104.5206969415,66.774591355
AHCTF1,111.8682772699,197.8531665802,226.9680853167
AHCY,682.761061765,656.991275536,1020.231486781
AHCYL1,1315.996115886,994.370270763,1284.796237956
AHCYL2,314.258508606,410.950999968,364.189077552
AHDC1,125.2888538447,82.6074274924,97.6619707287
AHI1,283.541627852,458.135066065,308.803721236
AHNAK,922.5810495687,605.1249658885,581.835771199
AHNAK2,62.2487329719,78.9883252931,62.0043300976
AHR,396.0216943598,258.706632919,561.826153018
AHSA1,1314.1313380943,873.5712861404,1054.959097229
AHSG,30.5356086348,23.0556843931,27.6712604135
AHSP,86.243980082,135.4122703575,131.1836901595
AICDA,61.334979017,78.8756616649,58.8654562569
AIF1,1778.2051962593,1577.9912658724,3444.2810384828
AIFM1,688.410618541,688.269387225,694.673558796
AIM1,1849.552937272,2290.19487134,1825.515621753
AIM1L,28.4562086405,32.4369044413,30.0396598636
AIM2,521.5171680618,960.559311029,586.8791407882
AIMP1,757.393306274,723.833070222,552.762151041
AIMP2,1120.793391704,1200.065411911,1184.720292806
AIP,1012.632533613,962.301043197,801.540655652
AIPL1,112.3547279822,122.8773930194,110.9123238183
AIRE,54.0038168157,57.26528392,58.259730624
AJAP1,43.0850797878,86.0966389832,63.8067251052
AK1,322.0567683263,242.158275584,223.2614626112
AK2,633.68143985,653.136725904,614.767538995
AK5,146.9767219784,222.7726117038,117.5959084401
AKAP1,409.711431422,508.803234458,378.257140019
AKAP10,275.374192205,228.484706786,275.524022118
AKAP11,1409.620327088,1503.675637806,1330.396595963
AKAP12,107.1967926093,522.0548269236,441.9878259641
AKAP13,1010.138142932,834.006895661,859.585506448
AKAP3,36.1704874752,41.2245363078,40.6448636559
AKAP4,45.2104871966,36.4186155373,43.833490562
AKAP5,90.8563934112,70.0726303368,60.9241847325
AKAP6,56.1679073255,74.6746224629,75.3280391454
AKAP7,302.9189935804,221.3711272654,197.8442311516
AKAP8,617.792183904,706.63681375,636.472992855
AKAP8L,376.039300428,420.26318783,342.881919899
AKAP9,258.64425893600003,273.019147465,245.72929371
AKIRIN1,662.11423057,739.821464762,762.286445976
AKR1A1,1549.507419713,1330.510052596,1630.685634508
AKR1B1,4695.65311416,2821.321648564,3173.823318678
AKR1B10,103.0551936832,128.9896488365,90.7878817758
AKR1C1,202.0699635492,167.4569728905,251.1743023265
AKR1C2,19.413411612,20.769729238,19.8148561152
AKR1C3,1641.8479213797,46.0464334193,372.4596135588
AKR1C4,12.9257948442,7.9439548194,9.5953706389
AKR1D1,51.1107435881,83.8725193202,62.7504959426
AKR7A2,708.657582905,665.808034817,561.199720582
AKR7A3,207.5686041645,157.7428798546,152.2306660083
AKT1,866.549940479,711.611870717,895.07513655
AKT2,55.3651073596,24.7928139849,34.0154277007
AKT3,129.5387164757,149.835015828,125.6953580385
AKTIP,706.710843655,681.533992105,547.63634257
ALAD,187.7857367442,122.0069321345,191.366211387
ALAS1,1080.158109499,836.1718527356,1656.352339621
ALAS2,8.9950534167,9.5420419156,9.1852677375
ALB,45.2896394384,63.5043061376,47.3153901055
ALCAM,676.8255316215,704.987904279,1182.353571907
ALDH18A1,593.60553579,614.969500609,350.942601693
ALDH1A1,343.6584750424,348.7639936314,663.0134755549
ALDH1A2,127.0226582612,107.2731098826,205.4236245793
ALDH1A3,15.7190933682,19.6465938081,20.5714549926
ALDH1B1,133.708953394,182.408533096,132.235629026
ALDH1L1,96.9973438137,82.3548983501,68.9001967124
ALDH2,1676.558501643,1032.456538384,2201.039489975
ALDH3A1,38.9885561649,21.4297977416,32.2897498781
ALDH3A2,509.221306678,383.360957557,554.349579788
ALDH3B1,284.6685360637,256.6003481456,403.3861975417
ALDH3B2,49.7786010098,79.2584083346,60.9043442461
ALDH4A1,84.3887130844,74.2058193818,107.4907354668
ALDH5A1,113.4791780084,99.6000862339,84.7726590414
ALDH6A1,409.149205767,474.423718311,393.209227541
ALDH7A1,67.1217353257,84.047391258,73.4712586843
ALDH8A1,63.8135221861,63.0155849803,57.1980114305
ALDH9A1,1743.056936126,1387.595797095,1913.682708644
ALDOA,7473.34771744,5276.52250362,6958.75182499
ALDOB,15.2125922745,19.110986067,17.1016009686
ALDOC,768.53980141,463.784889085,515.159605313
ALG12,143.1766011934,67.8272804062,90.5630074403
ALG13,315.88485487,286.073535123,270.944670385
ALG3,484.484299283,424.3379071763,386.280215458
ALG5,1625.702415053,1923.98994857,1317.750176699
ALG6,877.842904693,1159.384910488,759.561243816
ALG8,743.350767648,799.431712154,618.627199393
ALG9,351.442561882,372.083598836,286.818041324
ALK,96.9552626469,94.0146068509,105.6003415876
ALKBH1,662.058489076,665.495385552,680.241828166
ALKBH4,181.5367365709,120.5748501762,147.3941266153
ALLC,33.2905273605,24.3221863289,38.006259505
ALMS1,185.0884531617,196.1026383356,162.3006458493
ALOX12,36.430396047,43.2993046442,49.1306555604
ALOX12B,22.4770159156,17.6746303986,20.5010270705
ALOX12P2,56.9140862462,68.5823099344,68.9431554581
ALOX15,84.8723929202,118.5853065381,342.2024755243
ALOX15B,156.3592800211,169.5628073613,235.2036897762
ALOX5,415.9119060279,1385.0438517206,1004.744152538
ALOX5AP,5305.329178179,6751.717905942,7257.470493833
ALOXE3,52.1166605185,105.5739411942,85.0814201774
ALPI,5.7247623786,5.841827142,6.1591463155
ALPK3,47.9628242713,58.7116047533,45.0966007444
ALPL,73.7725739384,387.9250609557,446.86073843
ALPP,8.2149200482,9.6085494931,8.7689742057
ALPPL2,48.241533636,46.5185616083,46.3149172862
ALS2CL,395.420767816,722.891407696,493.996102751
ALS2CR8,84.433962797,69.4671153899,45.2786363859
ALX1,27.0026380907,46.8147304668,40.1433162456
ALX3,186.3572540185,288.0409426805,189.0394484725
ALX4,18.5855648,23.6474835375,18.9090236633
AMACR,168.731363956,170.9548335584,188.5279019128
AMBN,45.1171774922,39.1916541358,42.7990868375
AMBP,11.4066378028,13.10883544,14.8803185318
AMBRA1,283.1530499896,176.7779407892,217.0053000574
AMD1,998.445877324,1471.589673148,1518.259834296
AMDHD2,138.6136898927,151.9080515575,220.7900154793
AMELX,35.7559951222,38.3528530365,38.259812943
AMELY,20.9066155873,22.4191132387,20.6833724134
AMFR,332.530801315,624.527794804,381.363736676
AMH,40.9943136571,42.3481402148,34.2710223681
AMHR2,21.0490439221,40.0578543333,32.3795880743
AMIGO2,483.6829061513,704.0082079671,395.3592023971
AMMECR1,377.365984105,259.439818835,217.378580762
AMN,204.6757379464,185.9518827143,224.2561036061
AMOT,435.713216895,1189.403720144,425.704996079
AMOTL2,91.9899902374,105.984849224,130.823119198
AMPD1,100.4983939134,371.6020876074,96.8217817332
AMPD2,875.173962274,2061.249552157,2326.995762743
AMPD3,379.87113526,632.391908148,678.563710777
AMPH,161.0415911983,280.4680039973,194.0716183756
AMT,428.214189596,957.792038465,473.987246324
AMZ2,1432.61150527,1432.242264075,1023.658571006
ANAPC10,323.227766294,246.0066418579,274.208868535
ANAPC13,1950.22560936,2742.72531117,2361.27272206
ANAPC2,448.570840687,317.909538919,326.157384616
ANAPC5,1076.312315008,1100.913081265,795.716850342
ANG,75.2294415174,68.4788660522,53.6526326597
ANGEL1,301.04191864,316.555743753,278.120361022
ANGEL2,379.297718248,418.24539856,350.846818049
ANGPT1,165.0797008074,287.1219426664,225.053853586
ANGPT2,22.5212594028,28.1362240792,26.6942694363
ANGPT4,30.4137249167,43.0755311437,23.5906538675
ANGPTL2,126.1352706225,200.3618615905,143.9085006765
ANGPTL3,33.787246165,41.3891544997,29.7272627993
ANGPTL4,57.0725737885,55.4197576052,73.5293041232
ANGPTL7,18.0981877968,29.7421382431,21.4125162965
ANK1,64.1257180672,91.9784898004,52.2917781838
ANK2,104.4463140679,170.322948397,126.8578575059
ANK3,121.7018910023,117.2188485522,81.4030584895
ANKFY1,384.101672791,333.497196787,370.183425028
ANKHD1,947.328171178,1481.651954843,1178.178722002
ANKLE2,318.19717761,293.909706267,323.317153628
ANKMY1,31.4590459805,46.6276105948,37.5393463053
ANKMY2,959.583121752,1032.131250651,971.708706985
ANKRA2,856.376808153,1184.515155412,822.842225894
ANKRD1,26.5633258309,45.7118414017,28.5952215021
ANKRD10,1104.507684062,1200.467849008,945.526255481
ANKRD11,519.7380945423,351.5714366544,411.97954497
ANKRD12,494.475624986,635.861658109,710.366990575
ANKRD17,697.432687359,449.00860475,559.274576832
ANKRD2,46.5176306505,23.0915928814,40.5947377499
ANKRD26,111.823052332,127.8437220154,109.4929976983
ANKRD27,734.839302747,678.966156185,732.175022144
ANKRD28,327.9266763447,737.2587002877,533.6937299033
ANKRD46,353.46917335,293.035022227,332.677601586
ANKRD49,916.072046287,1073.260733791,899.468793693
ANKRD5,56.1096113355,48.6941581263,34.8905646834
ANKRD55,178.3515323201,380.4498958639,308.8237771253
ANKRD57,164.4953612945,158.0154617309,170.3658553343
ANKRD6,93.2233611795,174.1998413373,159.4531745047
ANKRD7,50.0856158783,76.8384135466,54.1235688205
ANKS1A,317.283024922,322.707088386,443.006271611
ANKS1B,50.378876475,69.2861736543,61.6306546862
ANKZF1,336.5109085801,207.9808329893,190.1633835634
ANO1,9.8636360149,20.521630556,18.1013240806
ANO10,148.7493852603,114.7902081089,202.5209056127
ANO2,24.1947429579,40.784138841,40.2273418748
ANO3,37.1782282996,52.7645440853,42.7830100589
ANP32A,262.7670715343,213.2108143689,306.867968398
ANP32B,3879.53311509,3816.6639128,2261.81557633
ANP32C,11.1977573698,10.9854610343,10.5075444074
ANP32D,32.1139457814,23.0703400492,24.4496684114
ANP32E,1007.175609119,770.650605792,580.310437896
ANPEP,695.5018547736,927.8667843242,1866.272950347
ANTXR1,24.6018346863,29.2079034229,33.6882494398
ANXA1,5225.211032878,4722.875483758,5996.333117194
ANXA10,17.759655238,22.648792739,17.9876849213
ANXA11,961.966214844,1340.477658951,1516.193789098
ANXA13,46.0704249576,75.0205628124,52.6378328252
ANXA2,6350.006130621,3016.130312795,6264.976892301
ANXA2P1,84.5744569623,57.8781463829,80.7661485858
ANXA2P2,396.1225878468,266.2571470141,344.9251125235
ANXA2P3,103.8372715177,106.1627338035,114.2801952324
ANXA3,144.5331805924,401.0916186505,436.2169465072
ANXA4,1312.130288089,1838.708442032,1766.192440405
ANXA5,3050.059746905,2657.542659532,4322.535170464
ANXA6,2955.02213501,2553.083653248,1456.7501553
ANXA7,1595.20157551,1445.486715819,1703.5212988
ANXA9,60.0301140746,86.0584738762,77.5318106329
AOAH,1968.2263159407,617.6992635729,1439.5348646958
AOC2,130.5786530802,297.5120758222,261.6818206418
AOC3,74.1408431689,123.8561824153,132.762866003
AOC4,58.4200039804,63.1095900852,70.3896552081
AOX1,43.7578529536,35.9117750523,38.3217453632
AP1AR,287.981447903,172.6478154622,216.6100649184
AP1B1,575.442358062,470.610264625,884.166359441
AP1G1,413.546140883,513.0520955369,641.694064195
AP1G2,542.431301862,491.212281053,392.441303246
AP1M2,67.8203488823,111.7660297625,93.6703858942
AP1S1,153.4245687605,117.1675079521,130.6911952997
AP1S2,1593.134148394,1111.168576651,1301.163447738
AP2A2,914.466364034,624.903956907,1372.223951789
AP2B1,838.028599037,706.412666667,541.857341204
AP2M1,2396.130542,1605.644072916,2500.27503902
AP2S1,1770.64898086,1057.63626427,1878.504830918
AP3B1,584.233499743,669.590300763,616.137817596
AP3B2,71.0179749426,127.5474701638,104.3220901149
AP3D1,385.915877066,185.6164999962,248.082715475
AP3M2,520.162346437,619.559428302,528.174547186
AP3S2,432.528986868,457.018696657,508.83708506
AP4E1,28.1556839172,30.9835830333,29.1205845873
AP4M1,91.8432034164,40.5829987765,78.7081095479
AP4S1,91.4257844815,116.0429234781,93.1095782344
APAF1,286.260113842,364.357913865,358.592791464
APBA1,35.0009247442,36.3685544466,53.3761793773
APBA2,235.8773327469,142.109392183,61.7941140633
APBA3,394.1180657378,168.6576362223,302.6080120552
APBB1,133.7340538009,79.2784980521,78.7635067762
APBB1IP,353.4854639628,368.8579727108,385.919020567
APBB2,26.5467109354,39.9381288986,40.2402557084
APBB3,381.090614986,665.586463966,487.812341152
APC,171.680832735,192.486711434,218.998351186
APC2,20.4307974968,21.6507295186,27.0199694531
APCS,125.2848771321,256.8738208818,186.2700006065
APEH,659.591862144,314.5708079344,462.889775253
APEX1,1994.050598215,1926.620712087,1429.417644319
APEX2,398.244961974,280.316527883,373.324791346
APH1A,1105.09557982,1254.243577898,1151.292841332
APH1B,427.487287273,675.558874675,689.59056658
API5,520.327204721,346.508326433,399.193630596
APITD1,194.4031289536,148.2186134261,169.8079609844
APLNR,36.6359332469,54.8207761854,47.7893069003
APLP1,12.3644725604,16.2318667003,12.7467222624
APLP2,1971.278092745,1819.587898525,2453.695841084
APOA1,45.7459836732,75.2451960601,42.5426884291
APOA2,41.8414865106,29.3860050191,39.4564305249
